"Name","Brand","Environment","Vercel Project","Supabase Project","Stripe Account","App URL","Status","Last QA","Notes"
"Auditelle local","Auditelle","Local","","","","http://localhost:3000","Needs QA","","RESELLER_ID=auditelle-fr"
"VeriTexto BR local","VeriTexto BR","Local","","","","http://localhost:3001","Needs QA","","RESELLER_ID=veritexto-pt"
"VeriTexto ES local","VeriTexto ES","Local","","","","http://localhost:3002","Needs QA","","RESELLER_ID=veritexto-es"
"NovaLearn local","NovaLearn","Local","","","","http://localhost:3003","Needs QA","","RESELLER_ID=novalearn-uk"
"TextVakt local","TextVakt","Local","","","","http://localhost:3004","Needs QA","","RESELLER_ID=klartext-se"
"Auditelle production","Auditelle","Production","","","","https://auditelle.fr","Not Started","","Confirm project names and secrets"
"VeriTexto BR production","VeriTexto BR","Production","","","","https://veritexto.com.br","Not Started","","Confirm project names and secrets"
"VeriTexto ES production","VeriTexto ES","Production","","","","https://veritexto.es","Not Started","","Confirm project names and secrets"
"NovaLearn production","NovaLearn","Production","","","","https://novalearn.co.uk","Not Started","","Confirm project names and secrets"
"TextVakt production","TextVakt","Production","","","","https://textvakt.com","Not Started","","Confirm project names and secrets"
