"Name","Brand","Environment","Required","Set?","Secret?","Source","Notes"
"RESELLER_ID","All","Production","true","false","false","App","One of auditelle-fr, novalearn-uk, veritexto-pt, veritexto-es, klartext-se"
"NEXT_PUBLIC_APP_URL","All","Production","true","false","false","App","Must match production domain"
"PANGRAM_API_KEY","All","Production","true","false","true","Pangram","Shared or per-brand depending on rate limits"
"NEXT_PUBLIC_SUPABASE_URL","All","Production","true","false","false","Supabase","Public URL for the brand project"
"NEXT_PUBLIC_SUPABASE_ANON_KEY","All","Production","true","false","true","Supabase","Public anon key; still do not paste value in Notion"
"SUPABASE_SERVICE_ROLE_KEY","All","Production","true","false","true","Supabase","Server-only service key"
"STRIPE_SECRET_KEY","All","Production","true","false","true","Stripe","Secret key for the brand account"
"NEXT_PUBLIC_STRIPE_PUBLISHABLE_KEY","All","Production","true","false","false","Stripe","Publishable key for checkout"
"STRIPE_WEBHOOK_SECRET","All","Production","true","false","true","Stripe","Webhook signing secret"
"STRIPE_PRO_PRICE_ID","All","Production","true","false","false","Stripe","Add other plan price IDs as needed"
"RESEND_API_KEY","All","Production","true","false","true","Resend","Email sending API key"
"CRON_SECRET","All","Production","false","false","true","App","Required if cron routes are protected"
